"station_id","network_id","station_full_name","site_lon","site_lat","operational_from","operational_to","permanent_installation","oceanops_ref","wmo_code","wigos_id","EDMO_code","summary","DoA_estimation_method","calibration_type","calibration_link","last_calibration_date","institution_name","institution_website","manufacturer","transmit_central_frequency","number_of_transmit_antennas","number_of_receive_antennas","temporal_resolution","radial_QC_velocity_threshold","radial_QC_variance_threshold","radial_QC_temporal_derivative_threshold","radial_QC_median_filter_RCLim","radial_QC_median_filter_AngLim","radial_QC_median_filter_CurLim","radial_QC_average_radial_bearing_min","radial_QC_average_radial_bearing_max","radial_QC_radial_count_threshold","number_of_range_cells","EU_HFR_processing_flag","connected_to_NRT","connected_to_REP","radial_input_folder_path","radial_HFRnetCDF_folder_path","SDC_distribution_flag","SDC_OpenDAP_data_url","SDC_folder_path"
"ANGL","HFR-US-WestCoast","Angel Island","-122.419","37.8533","2017-01-01",NULL,"1",NULL,NULL,NULL,"3790","The data set consists of maps of radial velocity of the sea water surface current collected at Angel Island, CA (ANGL) site along the Western US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Codar Ocean Sensors","http://www.codar.com/","Codar","40.75","1","1","60","5","1","2","5","30","3","0","360","200","50","1","0","0",,,"0",,
"ANWR","HFR-US-EastGulfCoast","Aransas National Wildlife Refuge","-96.7935","28.1114","2018-09-21",NULL,"1",NULL,NULL,NULL,"3814","The data set consists of maps of radial velocity of the sea water surface current collected at Aransas National Wildlife Refuge (ANWR) site along the Eastern US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Texas A&M University (TAMU)","https://www.tamu.edu/","Codar","4.45","1","1","60","5","1","2","5","30","3","0","360","200","300","1","0","0",,,"0",,
"AREN","HFR-ICATMAR","Arenys station","2.55746","41.5775","2023-12-31",NULL,"1","6103620","6103620","0-22000-0-6103620","5857","The data set consists of maps of radial velocity of the sea water surface current collected at Arenys (AREN) site in the Catalan coast. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 1.3 meters of the ocean.","Direction Finding","APM","info@icatmar.cat","2024-02-29","Direcció General de Política Marítima i Pesca Sostenible – Generalitat de Catalunya","https://icatmar.cat","CODAR","13.5","1","1","60","1","1","0.3","2.1","10","0.3","126","186","140","100","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-ICATMAR/Radials_ruv/AREN","/home/radarcombine/EU_HFR_NODE/HFR-ICATMAR/Radials_nc","0","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-ICATMAR-AREN_v3",NULL
"ARG1","HFR-US-WestCoast","Pt. Arguello","-120.65","34.5769","2010-07-21","2018-11-30","0",NULL,NULL,NULL,"3790","The data set consists of maps of radial velocity of the sea water surface current collected at Pt. Arguello, CA (ARG1) site along the Western US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"California Polytechnic State University ""San Luis Obispo"" (SLO)","https://www.calpoly.edu/","Codar","13.5","1","1","60","5","1","2","5","30","3","0","360","200","250","1","0","0",,,"0",,
"ASHD","HFR-MEPLAB","Ashdod","34.6364","31.8316","2019-05-01",NULL,"1","6103613","6103613","0-22000-0-6103613","5429","The data set consists of maps of radial velocity of the sea water surface current collected at Ashdod (ASHD) site in the Eastern Mediterranean Sea. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Beam Forming","Full","toledo@tau.ac.il",NULL,"Tel Aviv University - Marine Engineering and Physics Laboratory","http://web2.eng.tau.ac.il/wtest/toledo/wp/","WERA","8.3","1","1","20","1.2","1","1","5","30","1","0","360","200","100","0","0","0",,,"0",,
"ASHK","HFR-MEPLAB","Ashkelon","34.5461","31.6659","2018-10-10","2022-09-20","1","6103614","6103614","0-22000-0-6103614","5429","The data set consists of maps of radial velocity of the sea water surface current collected at Ashkelon (ASHK) site in the Eastern Mediterranean Sea. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Beam Forming","Full","toledo@tau.ac.il",NULL,"Tel Aviv University - Marine Engineering and Physics Laboratory","http://web2.eng.tau.ac.il/wtest/toledo/wp/","WERA","8.3","1","1","20","1.2","1","1","5","30","1","0","360","200","100","0","0","0",,,"0",,
"ASSA","HFR-US-EastGulfCoast","Assateague","-75.1529","38.205","2008-10-15",NULL,"1",NULL,NULL,NULL,"3806","The data set consists of maps of radial velocity of the sea water surface current collected at Assateague, MD (ASSA) site along the Eastern US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Old Dominion University (ODU)","https://www.odu.edu/","Codar","4.575","1","1","60","5","1","2","5","30","3","0","360","200","250","1","0","0",,,"0",,
"ATLT","HFR-MEPLAB","Atlit","34.928","32.685",NULL,NULL,"1",NULL,NULL,NULL,"5429","The data set consists of maps of radial velocity of the sea water surface current collected at Atlit (ATLT) site in the Eastern Mediterranean Sea. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Beam Forming","Full","toledo@tau.ac.il",NULL,"Tel Aviv University - Marine Engineering and Physics Laboratory","http://web2.eng.tau.ac.il/wtest/toledo/wp/","WERA","8.3","1","1","20","1.2","1","1","5","30","1","0","360","200","100","0","0","0",,,"0",,
"AURI","HFR-NAdr","AURISINA","13.669","45.741","2015-01-12",NULL,"1","6103585","6103585","0-22000-0-6103585","120","The data set consists of maps of radial velocity of the sea water surface current collected at Aurisina (AURI) site in the Gulf of Trieste (Northern Adriatic Sea). Data are averaged over a time interval of 30 minutes. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Beam Forming","Full","ddeponte@ogs.it; lursella@ogs.it","2015-01-12","Istituto Nazionale di Oceanografia e di Geofisica Sperimentale - OGS","http://nettuno.ogs.trieste.it/jungo/hazadr/wera.html","WERA","24.635","4","8","30","1.2","1","1","5","30","1","0","360","25","100","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-NAdr/Radials_asc/AURI","/home/radarcombine/EU_HFR_NODE/HFR-NAdr/Radials_nc","0","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-NAdr-AURI_v3",
"BARK","HFR-CALYPSO","Ta' Barkat","14.5561","35.8825","2012-07-01",NULL,"1","6103595","6103595","0-22000-0-6103595","708","The data set consists of maps of radial velocity of the sea water surface current collected by the HF radars of the CALYPSO High Frequency Radar Network at Ta' Barkat (BARK) site in the Malta Channel. Data are averaged over a time interval of 1 hour around the cardinal hour. Surface ocean velocities estimated by HF Radar are representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","adam.gauci@um.edu.mt","2020-09-28","University of Malta","https://www.calypsosouth.eu","Codar","13.5","1","1","60","1","1","1","5","30","1","0","15","200","67","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-CALYPSO/Radials_ruv/BARK","/home/radarcombine/EU_HFR_NODE/HFR-CALYPSO/Radials_nc","0","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-CALYPSO-BARK_v3",
"BEGU","HFR-ICATMAR","Begu station","3.2305","41.9672","2023-02-23",NULL,"1","6103621","6103621","0-22000-0-6103621","5857","The data set consists of maps of radial velocity of the sea water surface current collected at Begu (BEGU) site in the Catalan coast. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 1.3 meters of the ocean.","Direction Finding","APM","info@icatmar.cat","2023-07-03","Direcció General de Política Marítima i Pesca Sostenible - Generalitat de Catalunya","https://icatmar.cat","CODAR","13.5","1","1","60","1.4","1","0.3","2.1","10","0","44","104","140","100","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-ICATMAR/Radials_ruv/BEGU","/home/radarcombine/EU_HFR_NODE/HFR-ICATMAR/Radials_nc","0","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-ICATMAR-BEGU_v3",NULL
"BERL","HFR-Finnmark","Berlevag	

","29.07","70.87","2017-10-01",NULL,"1","6301850","6301850","0-22000-0-6301850","1212","The data set consists of maps of radial velocity of the sea water surface current collected at Berlevag (BERL) site along the coast of Finnmark. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","terjeb@met.no","2024-04-11","Norwegian Meteorological Institute","http://www.met.no","Codar","4.453","1","1","60","1.2","1","1","5","30","1","130","180","200","20","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-Finnmark/Radials_ruv/BERL","/home/radarcombine/EU_HFR_NODE/HFR-Finnmark/Radials_nc","1","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-Finnmark-BERL_v3","/home/radarcombine/EU_HFR_NODE/HFR-Finnmark/SDC/Radials"
"BIBN","HFR-NASCUM","Bibione","13.0976","45.6362","2007-08-07","2010-07-16","0","6103615","6103615","0-22000-0-6103615","700","The data set consists of maps of radial velocity of the sea water surface current collected at Bibione (BIBN) site in the Northern Adriatic Sea. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","dadic@izor.hr",NULL,"Institute of Oceanography and Fisheries","https://jadran.izor.hr/eng/intro.html","Codar","25","1","1","60","1","1","1","5","30","1","0","360","200","91","0","0","0",,,"0",,
"BIGC","HFR-US-WestCoast","Big Creek","-122.274","37.0894","2006-03-17",NULL,"1",NULL,NULL,NULL,"3805","The data set consists of maps of radial velocity of the sea water surface current collected at Big Creek (BIGC) site along the Western US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Naval Postgraduate School (NPS)","https://nps.edu/","Codar","40.55","1","1","60","5","1","2","5","30","3","0","360","200","200","1","0","0",,,"0",,
"BISL","HFR-US-EastGulfCoast","Block Island","-71.5518","41.1526","2007-05-08",NULL,"1",NULL,NULL,NULL,"3833","The data set consists of maps of radial velocity of the sea water surface current collected at Block Island, RI (BISL) site along the Eastern US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"University of Rhode Island (URI)","http://www.uri.edu/","Codar","25.6","1","1","60","5","1","2","5","30","3","0","360","200","50","1","0","0",,,"0",,
"BLCK","HFR-US-EastGulfCoast","Block Island","-71.5512","41.1528","2004-10-25",NULL,"1",NULL,NULL,NULL,"1435","The data set consists of maps of radial velocity of the sea water surface current collected at Block Island (BLCK) site along the Eastern US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Rutgers, The State University of New Jersey, Institute of Marine and Coastal Sciences","https://marine.rutgers.edu/","Codar","4.75","1","1","60","5","1","2","5","30","3","0","360","200","250","1","0","0",,,"0",,
"BMCL","HFR-Madeira","Baia de Camara de Lobos

","-16.9796","32.6493","2017-07-06",NULL,"0","1302554","1302554","0-22000-0-1302554","5226","The data set consists of maps of radial velocity of the sea water surface current collected at Baia de Camara de Lobos (BMCL) site along the Southern coast of Madeira. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","rui.caldeira@oom.arditi.pt",NULL,"Oceanic Observatory of Madeira","https://oom.arditi.pt/","Codar","13.5","1","1","60","1.2","1","1","5","30","1","0","360","200","20","0","0","0",,,"0",,
"BML1","HFR-US-WestCoast","Bodega Marine Laboratory","-123.073","38.3173","2006-08-19",NULL,"1",NULL,NULL,NULL,"3645","The data set consists of maps of radial velocity of the sea water surface current collected at Bodega Marine Laboratory (BML1) site along the Western US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Bodega Marine Laboratory (BML)","https://marinescience.ucdavis.edu/bml/about","Codar","12.157","1","1","60","5","1","2","5","30","3","0","360","200","175","1","0","0",,,"0",,
"BMLR","HFR-US-WestCoast","Bodega Marine Laboratory Long Range","-123.074","38.3195","2007-02-04",NULL,"1",NULL,NULL,NULL,"3645","The data set consists of maps of radial velocity of the sea water surface current collected at Bodega Marine Laboratory  Long Range (BMLR) site along the Western US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Bodega Marine Laboratory (BML)","https://marinescience.ucdavis.edu/bml/about","Codar","4.785","1","1","60","5","1","2","5","30","3","0","360","200","250","1","0","0",,,"0",,
"BONI","HFR-US-WestCoast","Bonilla Island, BC, Canada","-130.639","53.4932","2019-10-23","2019-12-05","0",NULL,NULL,NULL,"3716","The data set consists of maps of radial velocity of the sea water surface current collected at Bonilla Island, BC, Canada (BONI) site along the Western US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Ocean Networks Canada (ONC)","https://www.oceannetworks.ca/","Codar","4.463","1","1","60","5","1","2","5","30","3","0","360","200","350","1","0","0",,,"0",,
"BRAD","HFR-US-EastGulfCoast","Bradley Beach","-74.0086","40.1955","2014-12-18",NULL,"1",NULL,NULL,NULL,"1435","The data set consists of maps of radial velocity of the sea water surface current collected at Bradley Beach, NJ (BRAD) site along the Eastern US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Rutgers, The State University of New Jersey, Institute of Marine and Coastal Sciences","https://marine.rutgers.edu/","Codar","13.45","1","1","60","5","1","2","5","30","3","0","360","200","100","1","0","0",,,"0",,
"BRAG","HFR-US-WestCoast","Fort Bragg","-123.816","39.438","2010-07-29",NULL,"1",NULL,NULL,NULL,"3645","The data set consists of maps of radial velocity of the sea water surface current collected at Fort Bragg (BRAG) site along the Western US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Bodega Marine Laboratory (BML)","https://marinescience.ucdavis.edu/bml/about","Codar","4.785","1","1","60","5","1","2","5","30","3","0","360","200","250","1","0","0",,,"0",,
"BREZ","HFR-IROISE","Brézellec","-4.66667","48.0689","2006-07-12",NULL,"1","6204711","6204711","0-22000-0-6204711","540","The data set consists of maps of radial velocity of the sea water surface current collected at Brézellec (BRE) site in the Iroise Sea. Data are averaged over a time interval of 10 minutes. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Beam Forming","internal","solene.jousset@shom.fr","2009-09-23","Shom","https://www.shom.fr","WERA","12.377","1","1","10","2.5","0.96","1","5","30","1","0","0","200","100","0","0","0",,,"0",,"/home/radarcombine/EU_HFR_NODE/HFR-IROISE/SDC/Radials"
"BRIG","HFR-US-EastGulfCoast","Brigantine","-74.399","39.3784","2008-07-21",NULL,"1",NULL,NULL,NULL,"1435","The data set consists of maps of radial velocity of the sea water surface current collected at Brigantine, NJ (BRIG) site along the Eastern US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Rutgers, The State University of New Jersey, Institute of Marine and Coastal Sciences","https://marine.rutgers.edu/","Codar","4.48","1","1","60","5","1","2","5","30","3","0","360","200","250","1","0","0",,,"0",,
"BRMR","HFR-US-EastGulfCoast","Brigantine","-74.3985","39.3784","2011-12-08",NULL,"1",NULL,NULL,NULL,"1435","The data set consists of maps of radial velocity of the sea water surface current collected at Brigantine, NJ (BRMR) site along the Eastern US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Rutgers, The State University of New Jersey, Institute of Marine and Coastal Sciences","https://marine.rutgers.edu/","Codar","13.45","1","1","60","5","1","2","5","30","3","0","360","200","100","1","0","0",,,"0",,
